Time,FTRLS_Output,FTRLS_Error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032063962e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.008016032064127925e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.012024048096191453e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.016032064128255849e-03,0.000000000000000000e+00,2.491776942772521153e-01
1.002004008016032024e-02,-3.165332100297981593e-02,3.412690180570103760e-01
1.202404809619238291e-02,7.487476463289259587e-02,2.939521227620208177e-01
1.402805611222444730e-02,-2.553187881155566386e-02,4.521085273741734523e-01
1.603206412825651170e-02,2.426372707019260749e-02,4.583724274750768379e-01
1.803607214428857436e-02,4.502496064412005172e-02,4.917583161059668195e-01
2.004008016032064049e-02,2.751779250607313404e-02,5.612856716533293211e-01
2.204408817635270315e-02,2.171193105764820941e-01,4.213712828850329495e-01
2.404809619238476581e-02,-1.332183810264693513e-02,6.989696238904880010e-01
2.605210420841683194e-02,-2.070517012149405145e-01,9.371398880350860772e-01
2.805611222444889460e-02,-1.838452915372485730e-01,9.554809987140293615e-01
3.006012024048096073e-02,-1.227050146901975947e-01,9.328307348344442307e-01
3.206412825651302340e-02,2.810779153577003253e-01,5.643277986316986850e-01
3.406813627254508953e-02,-4.484854344461108311e-01,1.325821330713716995e+00
3.607214428857714872e-02,-2.388482697577761771e-01,1.144638017490132942e+00
3.807615230460921485e-02,-7.373534121271789754e-01,1.668007935778704987e+00
4.008016032064128098e-02,-1.193453629790595993e+00,2.145285330334492091e+00
4.208416833667334017e-02,9.339746020194308329e-01,3.526276454636700919e-02
4.408817635270540630e-02,9.732463492363205848e-01,9.556204764693654319e-03
4.609218436873747243e-02,-2.953258440463413237e-01,1.287799356582840282e+00
4.809619238476953162e-02,1.061875075259656853e+00,-6.366315301856884101e-02
5.010020040080159776e-02,-1.532474599696234119e+00,2.532469645099540312e+00
5.210420841683366389e-02,-1.922703408719218521e-01,1.190086157498549735e+00
5.410821643286573002e-02,-5.623297670940856641e-01,1.554012637919290007e+00
5.611222444889778921e-02,1.355111707073650251e+00,-3.734911980645253538e-01
5.811623246492985534e-02,4.595673423152882853e-01,5.081012596794965974e-01
6.012024048096192147e-02,-9.116341154981452144e-01,1.861516547920042175e+00
6.212424849699398066e-02,-9.283150091732057518e-01,1.856647484876337462e+00
6.412825651302604679e-02,-1.658369933106722094e+00,2.561474053881066304e+00
6.613226452905811292e-02,-1.945295292963979517e+00,2.819592624715862250e+00
6.813627254509017905e-02,2.719416658556474964e-01,5.700845859819713146e-01
7.014028056112224518e-02,1.030523921535484888e+00,-2.241051704943203271e-01
