# Time	FTRLS_Output	FTRLS_Error
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.004008016032063962e-03	0.000000000000000000e+00	0.000000000000000000e+00
4.008016032064127925e-03	0.000000000000000000e+00	0.000000000000000000e+00
6.012024048096191453e-03	0.000000000000000000e+00	0.000000000000000000e+00
8.016032064128255849e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.002004008016032024e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.202404809619238291e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.402805611222444730e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.603206412825651170e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.803607214428857436e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.004008016032064049e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.204408817635270315e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.404809619238476581e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.605210420841683194e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.805611222444889460e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.006012024048096073e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.206412825651302340e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.406813627254508953e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.607214428857714872e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.807615230460921485e-02	0.000000000000000000e+00	0.000000000000000000e+00
4.008016032064128098e-02	0.000000000000000000e+00	9.518317005438962086e-01
4.208416833667334017e-02	1.069862955743657196e+01	-9.729392190870774115e+00
4.408817635270540630e-02	1.145860989342535596e+01	-1.047580733942434250e+01
4.609218436873747243e-02	4.811851142548930760e+00	-3.819377630012431801e+00
4.809619238476953162e-02	1.723239468644677430e+01	-1.623418276420568773e+01
5.010020040080159776e-02	1.790447844201727534e+00	-7.904527987984214521e-01
5.210420841683366389e-02	7.948916641992327392e+00	-6.951100825365699620e+00
5.410821643286573002e-02	6.897025648512052243e+00	-5.905342777686847455e+00
5.611222444889778921e-02	1.384726109564227059e+01	-1.286564058663314647e+01
5.811623246492985534e-02	1.340320148915724552e+01	-1.243553288716246108e+01
6.012024048096192147e-02	7.794136025268237233e+00	-6.844253592846340162e+00
6.212424849699398066e-02	8.528632334440732876e+00	-7.600299858737601610e+00
6.412825651302604679e-02	3.107993594767135104e+00	-2.204889473992791338e+00
6.613226452905811292e-02	-1.607329525633571343e+00	2.481626857385454521e+00
6.813627254509017905e-02	4.871284335899006557e+00	-4.029258084061387635e+00
7.014028056112224518e-02	6.653215195693849893e+00	-5.846796444652685665e+00
