Time,FTRLS_Output,FTRLS_Error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032063962e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.008016032064127925e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.012024048096191453e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.016032064128255849e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.002004008016032024e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.202404809619238291e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.402805611222444730e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.603206412825651170e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.803607214428857436e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032064049e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.204408817635270315e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.404809619238476581e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.605210420841683194e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.805611222444889460e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.006012024048096073e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.206412825651302340e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.406813627254508953e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.607214428857714872e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.807615230460921485e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.008016032064128098e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.208416833667334017e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.408817635270540630e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.609218436873747243e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.809619238476953162e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.010020040080159776e-02,0.000000000000000000e+00,9.999950454033060820e-01
5.210420841683366389e-02,1.208968756703845493e+01,-1.109187175041182627e+01
5.410821643286573002e-02,1.080185286792742438e+01,-9.810169997102219597e+00
5.611222444889778921e-02,2.094230388708340129e+01,-1.996068337807427540e+01
5.811623246492985534e-02,2.050665310062832347e+01,-1.953898449863353903e+01
6.012024048096192147e-02,1.260980563671650678e+01,-1.165992320429461060e+01
6.212424849699398066e-02,1.371655317742436253e+01,-1.278822070172123126e+01
6.412825651302604679e-02,5.958693303227725835e+00,-5.055589182453381625e+00
6.613226452905811292e-02,-8.531119238438890084e-01,1.727409255595771853e+00
6.813627254509017905e-02,8.425055937323586264e+00,-7.583029685485967342e+00
7.014028056112224518e-02,1.100492505555337175e+01,-1.019850630451220752e+01
