Time,RLS_Output,RLS_Error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000100010001000133e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.000200020002000265e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.000300030003000534e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.000400040004000531e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.000500050005000528e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.000600060006001067e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.000700070007000522e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.000800080008001062e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.000900090009001601e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000100010001000106e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.100110011001100051e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.200120012001200213e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.300130013001300159e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.400140014001400104e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.500150015001500267e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.600160016001600212e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.700170017001700158e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.800180018001800320e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.900190019001900266e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000200020002000211e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.100210021002100157e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.200220022002200102e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.300230023002300481e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.400240024002400427e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500250025002500372e-03,0.000000000000000000e+00,7.846692627890959615e-02
2.600260026002600318e-03,3.655743875254137756e-03,7.794300941208290312e-02
2.700270027002700263e-03,1.341012958460379226e-02,7.131964520331514346e-02
2.800280028002800209e-03,1.227619759923459855e-02,7.558376227332118391e-02
2.900290029002900588e-03,-5.792076377960034966e-03,9.678135401936487081e-02
3.000300030003000534e-03,3.010038918112892606e-02,6.401730802205622683e-02
3.100310031003100479e-03,3.320579155984345471e-02,6.403939611563899681e-02
3.200320032003200425e-03,3.303765993867618239e-02,6.733405824637792025e-02
3.300330033003300370e-03,2.214151297506748023e-02,8.135574489306623969e-02
3.400340034003400316e-03,2.502312744611078291e-02,8.159864842462523360e-02
3.500350035003500261e-03,3.789889171922700833e-02,7.184634962973424077e-02
3.600360036003600640e-03,2.736494725995934282e-02,8.550267620934037804e-02
3.700370037003700586e-03,2.277450534567168616e-02,9.321438606326457044e-02
3.800380038003800531e-03,1.322317635787370431e-02,1.058858379981806180e-01
3.900390039003900477e-03,1.451024632001791589e-02,1.077177151901223817e-01
4.000400040004000422e-03,-1.586478844010631370e-02,1.412104905223937890e-01
4.100410041004100802e-03,-6.079164460081842164e-02,1.892538498963184379e-01
4.200420042004200313e-03,-1.926799987284875254e-02,1.508454402578454367e-01
4.300430043004300693e-03,-4.219104365017128933e-02,1.768824202486860286e-01
4.400440044004400204e-03,-2.159906725732962940e-02,1.594030504539429294e-01
4.500450045004500584e-03,1.749179578498706589e-02,1.234234336679898708e-01
4.600460046004600963e-03,2.920287646206595755e-02,1.148222081926529026e-01
4.700470047004700475e-03,-4.905435896655926942e-02,1.961878770692434548e-01
4.800480048004800854e-03,4.449958737873013076e-03,1.457905403738800343e-01
4.900490049004900366e-03,-2.971371619648200887e-02,1.830597132076253464e-01
5.000500050005000745e-03,-1.169059469010427371e-01,2.733559280457564244e-01
5.100510051005100257e-03,-2.789988515279414813e-02,1.874523060240599059e-01
5.200520052005200636e-03,-1.121039050766743927e-01,2.747571906415215981e-01
5.300530053005301015e-03,-1.584166106497977289e-01,3.241691552648513497e-01
5.400540054005400527e-03,-5.353105717141820596e-02,2.223812245987488723e-01
5.500550055005500906e-03,-3.103445150697789132e-02,2.029805749302543982e-01
5.600560056005600418e-03,-9.953335944493724163e-02,2.745737414858804293e-01
5.700570057005700797e-03,-1.727103413432646284e-01,3.508432540784032216e-01
5.800580058005801176e-03,-1.208979050579500197e-01,3.021215900356781225e-01
5.900590059005900688e-03,-6.898277975480963942e-02,2.532954480127451724e-01
6.000600060006001067e-03,-8.727568179385289393e-02,2.746755138764975790e-01
6.100610061006100579e-03,-1.361028764963544413e-01,3.265880224730546288e-01
6.200620062006200958e-03,-1.816319932474818044e-01,3.752005727306903515e-01
6.300630063006300470e-03,-1.371994773271963119e-01,3.338495794910346648e-01
6.400640064006400849e-03,-1.818984808153017996e-01,3.816281644144232654e-01
6.500650065006501228e-03,-1.856771938967999580e-01,3.884844872855523490e-01
6.600660066006600740e-03,-1.181884227274750399e-01,3.240713238793642703e-01
6.700670067006701119e-03,-4.152427612498860166e-02,2.504807526524417960e-01
6.800680068006800631e-03,-7.638123793034796993e-02,2.884092271047761225e-01
6.900690069006901010e-03,-5.881695160328138938e-02,2.739143603754419787e-01
