# Weights_0	Weights_1	Weights_2	Weights_3
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.261382962553084908e-02	9.136034030703603370e-02	4.294624287117119327e-02	1.836669676303046353e-02
-5.999842946032385438e-02	1.426613559638225115e-01	1.808991504434765696e-01	8.576158014418143460e-02
2.585385993834066198e-02	3.069436721430368609e-03	2.528559860016890148e-01	2.270948811821251745e-01
-3.329168737916311099e-02	1.130645306949593643e-01	2.227574013721916879e-02	4.892409174305428765e-01
5.288422604827982404e-02	1.069841332894122532e-01	1.584873563252397755e-01	3.480817486354809143e-01
1.692524137820120289e-01	9.838036415704939919e-02	1.091638330461747047e-01	4.262706026648205859e-01
2.780992298078111546e-01	1.699417051027997672e-01	9.167923434618090173e-02	3.843856562785546438e-01
5.053420735552039966e-01	1.433286226097770788e-01	1.009688079054068682e-01	3.028312093171124930e-01
5.522180511589922514e-01	2.796157334570928965e-01	4.615451675424318140e-02	3.078715483749809301e-01
5.102028078764729857e-01	3.115855734988886017e-01	2.072320831485165438e-01	2.818258572139413776e-01
5.126653204405456909e-01	2.592768819406422454e-01	2.360853964892043189e-01	4.436850900629689676e-01
5.382219755989749999e-01	2.973113741235068330e-01	1.980056920766268269e-01	5.287872135800947282e-01
7.427618549269510151e-01	2.544943040643128929e-01	1.956912886209001279e-01	4.605258776435890988e-01
6.299321250046749920e-01	4.368106394596473763e-01	1.808491759496235751e-01	5.009403335180493411e-01
6.275222152241975992e-01	3.376344894353613402e-01	3.776079340232142423e-01	4.974422194154377030e-01
4.897055260065559246e-01	3.804041968603151247e-01	3.267682099174559207e-01	7.252855822954202836e-01
2.686149398323612880e-01	3.908087143787887241e-01	4.989767304452727981e-01	7.873255873377725811e-01
4.278118642338005762e-01	1.778007579901836888e-01	4.821690467950344727e-01	9.074958095220257981e-01
5.528755131116654953e-01	3.103859323909696766e-01	2.767855242285153228e-01	9.012929511996867760e-01
5.664886749623528894e-01	4.100946968710518226e-01	4.111616923972610804e-01	6.944823961509352106e-01
7.182714368976719221e-01	2.925853377868737337e-01	4.699638516236896990e-01	6.794805919347270962e-01
6.068707549494394282e-01	4.449615091387335575e-01	3.886739225114621554e-01	7.871365811165009774e-01
6.061346447325021147e-01	3.686313103670770808e-01	5.664824218253468047e-01	7.388039555542189607e-01
5.840871399891237603e-01	3.582582780056021710e-01	4.854230056047761366e-01	9.109903591221467645e-01
7.027840608303279613e-01	3.741519085269647826e-01	4.852798927596970735e-01	8.221147335465733841e-01
7.638524854875642367e-01	4.406272604995793429e-01	4.440570687546248063e-01	7.930856227465492569e-01
7.273921832517160624e-01	4.947848823058452750e-01	5.138346082610122378e-01	7.633706271423709167e-01
6.959606832275642141e-01	4.590591926776764198e-01	5.685719124090705678e-01	8.360016503662319742e-01
6.337307820358230037e-01	4.664422533977549690e-01	5.800673644312067667e-01	9.202683359700044585e-01
5.595916883485027027e-01	4.512130268004250211e-01	6.419176505225000495e-01	9.675210558060203248e-01
5.821946861791890138e-01	3.870673638036999376e-01	6.360097931066766019e-01	1.033327833439784627e+00
6.285412108945485077e-01	4.090278004795340761e-01	5.806064255485118286e-01	1.037083007575195559e+00
6.884614727453094440e-01	4.291703258887543115e-01	5.828518689230846039e-01	9.756333568494588437e-01
7.130404438429396308e-01	4.617608610449654982e-01	5.751880208163889785e-01	9.549636823091386395e-01
6.768679577488739829e-01	4.923901313763981991e-01	6.112130685614378667e-01	9.493670824755562343e-01
6.575875065452972956e-01	4.662249433960857226e-01	6.437186022413545761e-01	9.839725988225738185e-01
6.336588133471485751e-01	4.644959491132588103e-01	6.360774804288071849e-01	1.029545177219503227e+00
6.147170798378697176e-01	4.574061403367123968e-01	6.529054963901120834e-01	1.042011880666303902e+00
5.992456951083570127e-01	4.493682979518682230e-01	6.545569841956315749e-01	1.063289761408881651e+00
6.466526747648057016e-01	4.208153291963702136e-01	6.390925533175675355e-01	1.065219549477339100e+00
6.406530473564185924e-01	4.625345031363796156e-01	6.168353724725498255e-01	1.054474736853184158e+00
6.347157268274661313e-01	4.580602474567987414e-01	6.511360589919843456e-01	1.032898366048837335e+00
6.239696197733545224e-01	4.546319367916826781e-01	6.458041566757010132e-01	1.055021231748137112e+00
6.322828107697406885e-01	4.461316050693380220e-01	6.457329797864893584e-01	1.056341016277434708e+00
6.263166008227668557e-01	4.534759736327484414e-01	6.424931733123625532e-01	1.057537870379424039e+00
6.264040014978196069e-01	4.507592023215958310e-01	6.461273603080456285e-01	1.056176191228212602e+00
6.265130230115527610e-01	4.507297360828655952e-01	6.464404377685685210e-01	1.055818283025778070e+00
6.248129454178422693e-01	4.519518038819233530e-01	6.453428465519281954e-01	1.058095066736524315e+00
6.270344226460270454e-01	4.485745638335287833e-01	6.484452975359179527e-01	1.057224219078285898e+00
6.354608920485638190e-01	4.489097623039927654e-01	6.399270982426505938e-01	1.060357314184317667e+00
6.336572096439315738e-01	4.605836782205197655e-01	6.425901356407950349e-01	1.051006457521945325e+00
6.270037312347488401e-01	4.589046643099560785e-01	6.552029817465520045e-01	1.051334020685424697e+00
6.298478625610670623e-01	4.504232474329341596e-01	6.523461118621668442e-01	1.065921367529076180e+00
6.328448821810349623e-01	4.549100416072615061e-01	6.474832012304140294e-01	1.067986655061086587e+00
6.521068739206943299e-01	4.521081581664414539e-01	6.464815575854638841e-01	1.060971821709965068e+00
6.636184397951238045e-01	4.678054609880764048e-01	6.364962853769269291e-01	1.056215535050506027e+00
6.780817053004517536e-01	4.740094121618390055e-01	6.465898360120267974e-01	1.042211055206780257e+00
6.843936660626310786e-01	4.849205363053507023e-01	6.456525142786690985e-01	1.047676469577697000e+00
7.023251617255362733e-01	4.854999865664864078e-01	6.527913066636483741e-01	1.046847210945579532e+00
7.399957023853009908e-01	4.896320290649488483e-01	6.390797240688006475e-01	1.049836581949486369e+00
7.199726706499076645e-01	5.350940432450288498e-01	6.520382966973153893e-01	1.040061056186244226e+00
7.218426927148297034e-01	5.120601985047815718e-01	6.954936700664858806e-01	1.050005295196093646e+00
