# Time	FTRLS_Output	FTRLS_Error
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.004008016032063962e-03	0.000000000000000000e+00	0.000000000000000000e+00
4.008016032064127925e-03	0.000000000000000000e+00	0.000000000000000000e+00
6.012024048096191453e-03	0.000000000000000000e+00	0.000000000000000000e+00
8.016032064128255849e-03	0.000000000000000000e+00	2.491776942772521153e-01
1.002004008016032024e-02	0.000000000000000000e+00	3.096156970540305808e-01
1.202404809619238291e-02	0.000000000000000000e+00	3.688268873949134274e-01
1.402805611222444730e-02	0.000000000000000000e+00	4.265766485626177884e-01
1.603206412825651170e-02	0.000000000000000000e+00	4.826361545452694246e-01
1.803607214428857436e-02	0.000000000000000000e+00	5.367832767500868574e-01
2.004008016032064049e-02	0.000000000000000000e+00	5.888034641594024343e-01
2.204408817635270315e-02	0.000000000000000000e+00	6.384905934615150436e-01
2.404809619238476581e-02	0.000000000000000000e+00	6.856477857878410243e-01
2.605210420841683194e-02	0.000000000000000000e+00	7.300881868201455349e-01
2.805611222444889460e-02	0.000000000000000000e+00	7.716357071767807607e-01
3.006012024048096073e-02	0.000000000000000000e+00	8.101257201442466638e-01
3.206412825651302340e-02	0.000000000000000000e+00	8.454057139893990103e-01
3.406813627254508953e-02	0.000000000000000000e+00	8.773358962676062189e-01
3.607214428857714872e-02	0.000000000000000000e+00	9.057897477323568758e-01
3.807615230460921485e-02	0.000000000000000000e+00	9.306545236515261221e-01
4.008016032064128098e-02	0.000000000000000000e+00	9.518317005438962086e-01
4.208416833667334017e-02	0.000000000000000000e+00	9.692373665657978421e-01
4.408817635270540630e-02	0.000000000000000000e+00	9.828025540010142391e-01
4.609218436873747243e-02	0.000000000000000000e+00	9.924735125364989585e-01
4.809619238476953162e-02	0.000000000000000000e+00	9.982119222410880122e-01
5.010020040080159776e-02	0.000000000000000000e+00	9.999950454033060820e-01
5.210420841683366389e-02	0.000000000000000000e+00	9.978158166266277718e-01
5.410821643286573002e-02	0.000000000000000000e+00	9.916828708252043434e-01
5.611222444889778921e-02	0.000000000000000000e+00	9.816205090091248975e-01
5.811623246492985534e-02	0.000000000000000000e+00	9.676686019947848827e-01
6.012024048096192147e-02	0.000000000000000000e+00	9.498824324218970716e-01
6.212424849699398066e-02	0.000000000000000000e+00	9.283324757031317098e-01
6.412825651302604679e-02	0.000000000000000000e+00	9.031041207743439880e-01
6.613226452905811292e-02	0.000000000000000000e+00	8.742973317518829557e-01
6.813627254509017905e-02	0.000000000000000000e+00	8.420262518376188110e-01
7.014028056112224518e-02	0.000000000000000000e+00	8.064187510411645610e-01
