Weights_0,Weights_1,Weights_2,Weights_3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.768112368708402438e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.828104507699190584e-01,-3.135605197916998405e-02,-3.135605197916998405e-02,-3.135605197916998405e-02
2.027737151053362330e-01,-5.282337409780196724e-02,-5.282337409780196724e-02,-5.282337409780196724e-02
2.292097881881793586e-01,-7.255949831280077145e-02,-7.255949831280077145e-02,-7.255949831280077145e-02
2.625224541133969192e-01,-9.144057482790395042e-02,-9.144057482790395042e-02,-9.144057482790395042e-02
3.001446975374665871e-01,-1.118195196707023054e-01,-1.118195196707023054e-01,-1.118195196707023054e-01
3.420322508686828300e-01,-1.335079129231015183e-01,-1.335079129231015183e-01,-1.335079129231015183e-01
3.876948787962542498e-01,-1.561461900363481092e-01,-1.561461900363481092e-01,-1.561461900363481092e-01
4.336398617637601816e-01,-1.827233173173309078e-01,-1.827233173173309078e-01,-1.827233173173309078e-01
4.844279154562849410e-01,-2.074672402036000507e-01,-2.074672402036000507e-01,-2.074672402036000507e-01
5.423226111951799933e-01,-2.292171905383832697e-01,-2.292171905383832697e-01,-2.292171905383832697e-01
6.046115075335145583e-01,-2.505456970800489791e-01,-2.505456970800489791e-01,-2.505456970800489791e-01
6.682562453149641923e-01,-2.723469413087409308e-01,-2.723469413087409308e-01,-2.723469413087409308e-01
7.277210102983826534e-01,-2.990701393128158969e-01,-2.990701393128158969e-01,-2.990701393128158969e-01
7.947914197918024559e-01,-3.209790497615647720e-01,-3.209790497615647720e-01,-3.209790497615647720e-01
8.627499113601002634e-01,-3.428725855150312474e-01,-3.428725855150312474e-01,-3.428725855150312474e-01
9.339698416527993929e-01,-3.598631239784921831e-01,-3.598631239784921831e-01,-3.598631239784921831e-01
1.007657434373444127e+00,-3.694394524131033308e-01,-3.694394524131033308e-01,-3.694394524131033308e-01
1.070927197514282225e+00,-3.870106493869195363e-01,-3.870106493869195363e-01,-3.870106493869195363e-01
1.128213207840191412e+00,-4.109714547266392071e-01,-4.109714547266392071e-01,-4.109714547266392071e-01
1.186262143274229075e+00,-4.322884511361448356e-01,-4.322884511361448356e-01,-4.322884511361448356e-01
1.234724727552306556e+00,-4.565100295029709265e-01,-4.565100295029709265e-01,-4.565100295029709265e-01
1.290903216290979261e+00,-4.728057350234113332e-01,-4.728057350234113332e-01,-4.728057350234113332e-01
1.345971275620508223e+00,-4.897090313629917091e-01,-4.897090313629917091e-01,-4.897090313629917091e-01
1.398984407791437512e+00,-5.050211274759567326e-01,-5.050211274759567326e-01,-5.050211274759567326e-01
1.446062322294809910e+00,-5.252693631455890300e-01,-5.252693631455890300e-01,-5.252693631455890300e-01
1.490801191251849955e+00,-5.452365513533539154e-01,-5.452365513533539154e-01,-5.452365513533539154e-01
1.537843097091484035e+00,-5.611451954366979411e-01,-5.611451954366979411e-01,-5.611451954366979411e-01
1.584586443768814634e+00,-5.748200641316670856e-01,-5.748200641316670856e-01,-5.748200641316670856e-01
1.631757322002086674e+00,-5.852198647656287056e-01,-5.852198647656287056e-01,-5.852198647656287056e-01
1.679596688380698977e+00,-5.924191949005505053e-01,-5.924191949005505053e-01,-5.924191949005505053e-01
1.722921171238472660e+00,-6.009949825933106338e-01,-6.009949825933106338e-01,-6.009949825933106338e-01
1.760622821600245302e+00,-6.113483850261436370e-01,-6.113483850261436370e-01,-6.113483850261436370e-01
1.793205046862638374e+00,-6.241706309882496528e-01,-6.241706309882496528e-01,-6.241706309882496528e-01
1.822663354175081629e+00,-6.363874697560552018e-01,-6.363874697560552018e-01,-6.363874697560552018e-01
1.852262725450001923e+00,-6.453326463899808907e-01,-6.453326463899808907e-01,-6.453326463899808907e-01
1.880467725295507098e+00,-6.523817761741671495e-01,-6.523817761741671495e-01,-6.523817761741671495e-01
1.907181775430276671e+00,-6.576317242778872973e-01,-6.576317242778872973e-01,-6.576317242778872973e-01
1.931819029341536043e+00,-6.615256852217229477e-01,-6.615256852217229477e-01,-6.615256852217229477e-01
1.952929623731835651e+00,-6.639678256035376203e-01,-6.639678256035376203e-01,-6.639678256035376203e-01
1.968938939163621615e+00,-6.682641717512692869e-01,-6.682641717512692869e-01,-6.682641717512692869e-01
1.982449377963746873e+00,-6.717228272690191071e-01,-6.717228272690191071e-01,-6.717228272690191071e-01
1.993302852397426994e+00,-6.742702895668987173e-01,-6.742702895668987173e-01,-6.742702895668987173e-01
2.001843460961497900e+00,-6.756443992112924901e-01,-6.756443992112924901e-01,-6.756443992112924901e-01
2.007103927984862590e+00,-6.768159540760483317e-01,-6.768159540760483317e-01,-6.768159540760483317e-01
2.009756940614964016e+00,-6.772152809142064633e-01,-6.772152809142064633e-01,-6.772152809142064633e-01
2.009464018746285774e+00,-6.771704578795287865e-01,-6.771704578795287865e-01,-6.771704578795287865e-01
2.006132933154250342e+00,-6.767959711858203553e-01,-6.767959711858203553e-01,-6.767959711858203553e-01
1.999945476070070116e+00,-6.759442791036263110e-01,-6.759442791036263110e-01,-6.759442791036263110e-01
1.990703085785749060e+00,-6.749681862062641979e-01,-6.749681862062641979e-01,-6.749681862062641979e-01
1.977813526912634678e+00,-6.744273696943899887e-01,-6.744273696943899887e-01,-6.744273696943899887e-01
1.961567877978695140e+00,-6.740711867319434392e-01,-6.740711867319434392e-01,-6.740711867319434392e-01
1.942224078465991877e+00,-6.737675915302921981e-01,-6.737675915302921981e-01,-6.737675915302921981e-01
1.919329660879401267e+00,-6.740546091906135517e-01,-6.740546091906135517e-01,-6.740546091906135517e-01
1.893397211478611286e+00,-6.750245601938136275e-01,-6.750245601938136275e-01,-6.750245601938136275e-01
1.863323530984588583e+00,-6.781249906721605880e-01,-6.781249906721605880e-01,-6.781249906721605880e-01
1.829953385726844184e+00,-6.836610670444938087e-01,-6.836610670444938087e-01,-6.836610670444938087e-01
1.793527204642181738e+00,-6.924972459082715526e-01,-6.924972459082715526e-01,-6.924972459082715526e-01
