Time,RLS_Output,RLS_Error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032063962e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.008016032064127925e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.012024048096191453e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.016032064128255849e-03,0.000000000000000000e+00,2.491776942772521153e-01
1.002004008016032024e-02,1.607623982677609809e-01,1.488532987862696000e-01
1.202404809619238291e-02,1.867615338254178248e-01,1.820653535694956027e-01
1.402805611222444730e-02,1.762285873680152770e-01,2.503480611946025114e-01
1.603206412825651170e-02,7.415016782636736636e-03,4.752211377626326949e-01
1.803607214428857436e-02,2.892743187696548701e-01,2.475089579804319873e-01
2.004008016032064049e-02,2.936109059359496842e-01,2.951925582234527501e-01
2.204408817635270315e-02,5.322753842100036437e-01,1.062152092515113999e-01
2.404809619238476581e-02,6.278294113798206233e-01,5.781837440802040096e-02
2.605210420841683194e-02,5.967330544520379476e-01,1.333551323681075873e-01
2.805611222444889460e-02,6.949013395571519425e-01,7.673436761962881825e-02
3.006012024048096073e-02,6.579751761844554458e-01,1.521505439597912179e-01
3.206412825651302340e-02,8.167707249794519120e-01,2.863498900994709828e-02
3.406813627254508953e-02,7.347814241226227061e-01,1.425544721449835128e-01
3.607214428857714872e-02,7.721994130537352952e-01,1.335903346786215806e-01
3.807615230460921485e-02,6.908762230000018434e-01,2.397783006515242787e-01
4.008016032064128098e-02,3.547372830785154307e-01,5.970944174653807224e-01
4.208416833667334017e-02,4.397799643076473197e-01,5.294574022581505224e-01
4.408817635270540630e-02,3.932922417656744551e-01,5.895103122353397840e-01
4.609218436873747243e-02,4.037135854941734103e-01,5.887599270423256037e-01
4.809619238476953162e-02,1.188769344432261788e+00,-1.905574221911737753e-01
5.010020040080159776e-02,9.575577464007638540e-01,4.243729900254222809e-02
5.210420841683366389e-02,8.063115669425727772e-01,1.915042496840549946e-01
5.410821643286573002e-02,9.025215881679220509e-01,8.916128265728229252e-02
5.611222444889778921e-02,8.295266743863694003e-01,1.520938346227554971e-01
5.811623246492985534e-02,1.165417516776290130e+00,-1.977489147815052473e-01
6.012024048096192147e-02,1.148166942737824492e+00,-1.982845103159274203e-01
6.212424849699398066e-02,1.178562128837402412e+00,-2.502296531342707020e-01
6.412825651302604679e-02,8.695123234557895486e-01,3.359179731855443940e-02
6.613226452905811292e-02,4.928705842735908726e-01,3.814267474782920830e-01
6.813627254509017905e-02,4.525480092287613165e-01,3.894782426088574945e-01
7.014028056112224518e-02,3.809321368831845023e-01,4.254866141579800587e-01
