Index,Suffix,Count,Label
1,com,362065,1
2,org,48771,1
3,net,23546,1
4,edu,10086,1
5,ca,9558,1
6,,8349,0
7,co.uk,6978,1
8,ru,6197,0
9,info,4432,0
10,com.br,3798,0
11,com.au,3258,0
12,de,3222,0
13,gov,3038,1
14,pl,2426,0
15,biz,2385,0
16,it,2089,0
17,in,1754,0
18,fr,1730,0
19,nl,1467,0
20,us,1297,1
21,ro,1279,0
22,cn,1254,0
23,cl,1194,0
24,eu,1156,0
25,mx,1121,0
26,tk,1014,0
27,co.za,978,0
28,asia,953,0
29,cz,833,0
30,fm,782,1
31,es,772,0
32,top,756,0
33,ac.uk,748,1
34,se,711,1
35,com.ar,658,0
36,be,648,0
37,xyz,644,0
38,qc.ca,635,1
39,pw,633,0
40,org.uk,594,1
41,su,583,0
42,hu,528,0
43,me,515,0
44,ch,510,0
45,dk,505,0
46,co,498,0
47,cc,469,0
48,gc.ca,450,1
49,co.nz,448,1
50,at,445,0
51,com.cn,438,0
52,gr,427,0
53,ly,420,0
54,tv,415,1
55,ir,383,0
56,work,373,0
57,com.mx,360,0
58,ie,351,1
59,name,348,1
60,to,341,0
61,pt,297,0
62,ws,292,0
63,com.tr,283,0
64,co.in,282,0
65,click,281,0
66,com.ua,272,0
67,ga,263,0
68,no,252,0
69,by,251,0
70,kz,240,0
71,edu.au,237,1
72,net.au,234,1
73,fi,233,1
74,sk,232,0
75,gq,221,0
76,si,212,1
77,co.kr,209,0
78,mil,205,1
79,mobi,192,0
80,co.jp,189,1
81,jp,187,0
82,online,179,0
83,vn,178,0
84,co.il,177,0
85,org.au,175,1
86,com.vn,174,0
87,co.id,170,0
88,lt,163,0
89,ml,162,0
90,mn,159,0
91,com.my,157,0
92,gl,140,0
93,ae,130,0
94,nu,124,1
95,com.pl,119,0
96,org.br,117,0
97,rs,116,0
98,com.sg,114,0
99,cf,111,0
100,com.tw,109,0
101,com.pk,101,0
102,ph,99,1
103,gov.uk,98,1
104,gov.au,97,1
105,bg,92,0
106,mu,91,0
107,co.ke,90,0
108,on.ca,88,1
109,ma,87,0
110,ua,85,0
111,cx,84,0
112,com.ve,82,0
113,onion,82,0
114,club,80,0
115,ne.jp,79,1
116,edu.bd,79,0
117,host,76,0
118,lk,75,0
119,sch.id,73,0
120,ee,70,1
121,com.bo,69,0
122,pro,69,0
123,com.hk,67,0
124,lv,67,0
125,ac.at,64,1
126,co.th,62,0
127,is,62,0
128,am,59,0
129,ac.th,58,0
130,com.ph,58,0
131,COM,58,0
132,hk,58,0
133,website,57,0
134,ge,56,0
135,int,56,1
136,org.in,56,0
137,bid,54,0
138,ac.jp,54,1
139,ac.il,54,1
140,pk,54,0
141,edu.cn,53,0
142,com.ng,53,0
143,my,52,0
144,hr,51,1
145,travel,51,1
146,tf,51,0
147,xn--p1ai,51,0
148,mn.us,50,1
149,vu,50,0
150,com.np,49,0
151,edu.pl,49,0
152,ms,49,0
153,net.br,48,0
154,bc.ca,47,1
155,or.kr,47,0
156,tc,47,0
157,wang,45,0
158,tx.us,45,1
159,sg,45,0
160,ac.in,44,1
161,com.co,44,0
162,k12.ca.us,44,1
163,kr,44,0
164,co.cm,44,0
165,pe,43,0
166,or.jp,43,1
167,org.nz,42,1
168,br,41,1
169,link,41,0
170,ac.id,40,0
171,com.uy,40,0
172,ht,40,0
173,jobs,39,1
174,ca.us,39,1
175,cat,38,0
176,me.uk,38,1
177,ac,38,1
178,ac.be,38,1
179,ba,37,0
180,oh.us,36,1
181,site,36,0
182,lu,36,0
183,az,36,0
184,gdn,36,0
185,space,35,0
186,io,35,0
187,com.pe,35,0
188,net.nz,35,1
189,so,33,0
190,org.ua,33,0
191,uz,33,0
192,party,32,0
193,md,32,0
194,ac.nz,31,1
195,in.ua,31,0
196,go.th,31,0
197,ab.ca,30,1
198,org.sv,30,0
199,net.cn,30,0
200,co.mz,29,0
201,go.id,29,0
202,uk,29,0
203,in.th,29,0
204,edu.hk,28,1
205,li,28,0
206,bz,28,0
207,ns.ca,28,1
208,ac.ir,26,0
209,edu.my,26,0
210,gt,26,0
211,nf,26,0
212,org.pe,26,0
213,mb.ca,26,1
214,gs,25,0
215,or.id,25,0
216,pa.us,24,1
217,la,24,0
218,gov.bd,23,0
219,org.za,23,1
220,vc,23,0
221,ac.za,22,1
222,org.ar,22,0
223,rw,22,0
224,id.au,22,1
225,edu.vn,22,0
226,tech,22,0
227,net.ua,21,0
228,gov.za,21,1
229,net.ms,21,0
230,edu.tw,21,1
231,kiev.ua,21,0
232,co.tz,21,0
233,co.zw,21,0
234,coop,21,1
235,tl,21,0
236,pn,20,0
237,tt,20,0
238,web.id,20,0
239,uy,20,0
240,net.pl,20,0
241,nj.us,19,1
242,adv.br,19,0
243,tw,19,0
244,win,19,0
245,com.ba,19,0
246,legal,19,0
247,news,18,0
248,ug,18,0
249,edu.co,18,0
250,mk,18,0
251,org.il,18,0
252,edu.pk,18,0
253,com.lb,17,0
254,com.es,17,0
255,com.cy,17,0
256,cab,17,0
257,im,17,0
258,tn,17,0
259,gg,16,0
260,or.ke,16,0
261,com.py,16,0
262,cm,16,0
263,edu.pe,16,0
264,church,16,0
265,org.rs,15,0
266,govt.nz,15,1
267,ma.us,15,1
268,tj,15,0
269,support,14,0
270,id,14,0
271,tel,14,1
272,co.rs,14,0
273,gov.tr,14,0
274,ind.br,13,0
275,aero,13,1
276,com.ec,13,0
277,nic.in,13,1
278,com.gr,13,0
279,date,13,0
280,edu.tr,13,1
281,org.cn,13,0
282,org.mx,13,0
283,dp.ua,13,0
284,st,13,0
285,asn.au,12,0
286,yt,12,0
287,org.pl,12,0
288,co.cr,12,0
289,il.us,12,1
290,mi.us,12,1
291,edu.br,12,0
292,net.in,12,0
293,edu.sg,12,1
294,k12.mo.us,11,1
295,org.pk,11,0
296,go.jp,11,1
297,com.kh,11,0
298,do,11,0
299,gov.co,11,0
300,ac.kr,11,1
301,kg,10,0
302,ltd.uk,10,1
303,mp,10,1
304,k12.in.us,10,1
305,biz.pl,10,0
306,org.tr,10,0
307,edu.mx,10,0
308,com.pt,10,0
309,com.sa,10,0
310,ai,10,0
311,sn,10,0
312,ORG,10,0
313,expert,9,0
314,ba.gov.br,9,0
315,edu.np,9,0
316,or.us,9,1
317,com.mk,9,0
318,lviv.ua,9,0
319,NET,9,0
320,gov.ua,9,0
321,co.bw,9,1
322,gov.vn,9,0
323,co.at,9,1
324,com.tn,9,0
325,com.ro,9,0
326,k12.mi.us,9,1
327,co.ao,9,0
328,g12.br,9,0
329,vg,8,0
330,info.pl,8,0
331,vic.gov.au,8,1
332,restaurant,8,0
333,gov.pl,8,0
334,com.gt,8,0
335,edu.in,8,0
336,edu.ar,8,0
337,lol,8,0
338,ac.cn,8,0
339,sk.ca,8,1
340,hm,8,0
341,lib.in.us,8,1
342,wa.us,8,1
343,lib.ks.us,8,1
344,ad,8,1
345,com.mt,8,1
346,gen.tr,8,0
347,science,8,0
348,org.tw,8,0
349,gov.al,8,0
350,ps,8,0
351,photo,8,0
352,org.np,8,0
353,fl.us,8,1
354,asso.fr,8,0
355,oz.au,8,1
356,net.uk,8,1
357,k12.va.us,7,1
358,ac.ke,7,0
359,nb.ca,7,1
360,k12.wi.us,7,0
361,mo.us,7,1
362,k12.pa.us,7,1
363,nr,7,0
364,vacations,7,0
365,com.bd,7,0
366,or.th,7,0
367,com.do,7,0
368,wa.edu.au,7,1
369,download,7,0
370,gov.ve,7,0
371,gov.it,7,0
372,sy,7,0
373,cd,7,0
374,gov.ph,7,0
375,edu.rs,7,0
376,net.vn,7,0
377,gov.in,7,1
378,k12.ky.us,6,1
379,sd.us,6,1
380,org.ni,6,0
381,au,6,1
382,org.ng,6,0
383,k12.mn.us,6,1
384,vic.edu.au,6,0
385,adm.br,6,0
386,or.tz,6,0
387,vn.ua,6,0
388,ve.it,6,0
389,as,6,0
390,wroclaw.pl,6,0
391,net.my,6,0
392,k12.oh.us,6,1
393,pe.ca,6,1
394,tv.br,6,0
395,wa.gov.au,6,1
396,org.ve,6,0
397,info.tr,6,0
398,nf.ca,6,1
399,al,6,0
400,zp.ua,6,0
401,gr.jp,6,0
402,gd,6,0
403,faith,6,0
404,gov.hk,6,1
405,gob.ve,6,0
406,gob.pe,6,0
407,com.kz,6,0
408,gov.cn,6,0
409,city,6,0
410,gov.sy,6,0
411,co.us,6,1
412,cci.fr,6,0
413,nhs.uk,5,1
414,web.tr,5,0
415,art.br,5,0
416,ec,5,0
417,waw.pl,5,0
418,com.na,5,0
419,tm,5,1
420,ia.us,5,1
421,trade,5,0
422,bel.tr,5,0
423,mw,5,0
424,lib.il.us,5,1
425,mil.nz,5,1
426,com.bt,5,0
427,mg,5,0
428,va,5,1
429,srv.br,5,0
430,or.cr,5,0
431,k12.ia.us,5,1
432,sc.gov.br,5,0
433,sh,5,1
434,wv.us,5,1
435,org.py,5,0
436,org.my,5,0
437,k12.ct.us,5,1
438,org.hk,4,1
439,edu.sa,4,1
440,tn.us,4,1
441,gov.mm,4,0
442,cv.ua,4,0
443,af,4,0
444,moe,4,0
445,ct.us,4,1
446,biz.tr,4,0
447,sa,4,0
448,priv.no,4,1
449,edu.ph,4,0
450,qld.gov.au,4,1
451,rocks,4,0
452,re,4,0
453,accountant,4,0
454,res.in,4,1
455,edu.ua,4,0
456,net.ve,4,0
457,edu.ve,4,0
458,edu.kh,4,0
459,org.co,4,0
460,alsace,4,0
461,al.us,4,1
462,global,4,0
463,sx,4,0
464,edu.ec,4,0
465,loan,4,0
466,szczecin.pl,4,0
467,one,4,0
468,co.ma,4,0
469,odessa.ua,4,0
470,org.mk,4,0
471,ny.us,4,1
472,gob.mx,4,0
473,org.sg,4,0
474,av.tr,4,0
475,gen.nz,4,1
476,info.ve,4,0
477,review,4,0
478,webcam,4,0
479,km.ua,4,0
480,lg.ua,4,0
481,k12.il.us,4,1
482,ind.in,4,0
483,je,4,0
484,com.ge,4,0
485,INFO,4,0
486,lib.mo.us,4,1
487,Data,4,0
488,k12.fl.us,4,1
489,lib.wi.us,4,1
490,ve,4,0
491,ac.cy,3,1
492,gov.kh,3,0
493,fin.ec,3,0
494,net.co,3,0
495,etc.br,3,0
496,sh.cn,3,0
497,az.us,3,1
498,gob.bo,3,0
499,ne.kr,3,0
500,nd.us,3,1
501,go.ke,3,0
502,tur.br,3,0
503,k12.ga.us,3,1
504,bf,3,0
505,net.ma,3,0
506,ed.jp,3,0
507,nt.ca,3,1
508,k12.nj.us,3,1
509,nv.us,3,1
510,k12.or.us,3,1
511,od.ua,3,0
512,co.ir,3,0
513,ci,3,0
514,k12.ny.us,3,1
515,argyll-bute.sch.uk,3,1
516,net.ph,3,1
517,com.eg,3,0
518,sklep.pl,3,1
519,museum,3,1
520,clinic,3,0
521,cloud,3,0
522,ga.us,3,1
523,org.ph,3,0
524,la.us,3,1
525,or.at,3,1
526,inf.br,3,0
527,md.us,3,1
528,co.ug,3,0
529,media,3,0
530,va.us,3,1
531,bm,3,1
532,mg.gov.br,3,0
533,pp.se,3,1
534,edu.ng,3,0
535,bydgoszcz.pl,3,0
536,coop.br,3,0
537,ms.us,3,1
538,gov.mz,3,0
539,CO.UK,2,0
540,racing,2,0
541,properties,2,0
542,xxx,2,0
543,org.es,2,0
544,edu.mt,2,1
545,org.eg,2,1
546,com.hr,2,0
547,go.gov.br,2,0
548,ad.jp,2,1
549,institute,2,0
550,gift,2,0
551,wodzislaw.pl,2,0
552,red,2,0
553,qa,2,0
554,org.bd,2,0
555,ink,2,0
556,ar,2,1
557,pro.br,2,0
558,edu.al,2,0
559,edu.mn,2,0
560,k12.sc.us,2,1
561,k12.tr,2,0
562,k12.tn.us,2,1
563,edu.ba,2,0
564,co.hu,2,0
565,edu.lb,2,1
566,slask.pl,2,0
567,pm,2,0
568,ac.ug,2,0
569,eng.br,2,0
570,ac.rs,2,1
571,services,2,0
572,bw,2,1
573,edu.jm,2,0
574,sc.us,2,1
575,xn--80aswg,2,0
576,wiki,2,0
577,agency,2,0
578,edu.sv,2,0
579,ak.us,2,1
580,sc,2,0
581,siracusa.it,2,0
582,k12.ms.us,2,1
583,xn--80asehdb,2,0
584,edu.pt,2,0
585,sa.edu.au,2,0
586,cnt.br,2,0
587,in.rs,2,0
588,ac.lk,2,1
589,club.tw,2,0
590,ppg.br,2,1
591,CO,2,0
592,casa,2,0
593,prato.it,2,0
594,sd,2,0
595,co.cl,2,0
596,gen.in,2,0
597,life,2,0
598,systems,2,0
599,RU,2,0
600,mielec.pl,2,1
601,help,2,0
602,coop.py,2,0
603,gov.ng,2,0
604,bialystok.pl,2,0
605,ac.ae,2,1
606,mus.br,2,0
607,US,2,0
608,cc.il.us,2,1
609,ne.us,2,1
610,trieste.it,2,1
611,i.ng,2,0
612,today,2,0
613,to.it,2,0
