Elapsed Time (s), Actual Time, Emotion
2.28, 2025-01-08 21:13:12, angry
3.07, 2025-01-08 21:13:13, angry
3.63, 2025-01-08 21:13:14, sad
4.49, 2025-01-08 21:13:15, neutral
5.33, 2025-01-08 21:13:15, neutral
7.48, 2025-01-08 21:13:18, neutral
8.29, 2025-01-08 21:13:18, neutral
9.09, 2025-01-08 21:13:19, neutral
9.65, 2025-01-08 21:13:20, neutral
10.44, 2025-01-08 21:13:20, neutral
11.00, 2025-01-08 21:13:21, happy
11.79, 2025-01-08 21:13:22, happy
12.33, 2025-01-08 21:13:22, happy
12.88, 2025-01-08 21:13:23, happy
13.66, 2025-01-08 21:13:24, happy
14.17, 2025-01-08 21:13:24, happy
14.68, 2025-01-08 21:13:25, happy
15.18, 2025-01-08 21:13:25, happy
15.94, 2025-01-08 21:13:26, happy
16.72, 2025-01-08 21:13:27, happy
17.27, 2025-01-08 21:13:27, happy
17.83, 2025-01-08 21:13:28, happy
18.39, 2025-01-08 21:13:28, neutral
18.94, 2025-01-08 21:13:29, neutral
19.51, 2025-01-08 21:13:30, fear
20.10, 2025-01-08 21:13:30, neutral
20.88, 2025-01-08 21:13:31, neutral
21.66, 2025-01-08 21:13:32, neutral
22.41, 2025-01-08 21:13:32, neutral
22.99, 2025-01-08 21:13:33, neutral
23.68, 2025-01-08 21:13:34, neutral
24.24, 2025-01-08 21:13:34, neutral
24.98, 2025-01-08 21:13:35, neutral
25.60, 2025-01-08 21:13:36, neutral
26.20, 2025-01-08 21:13:36, fear
26.96, 2025-01-08 21:13:37, fear
27.57, 2025-01-08 21:13:38, sad
28.26, 2025-01-08 21:13:38, sad
29.01, 2025-01-08 21:13:39, neutral
29.59, 2025-01-08 21:13:40, neutral
30.29, 2025-01-08 21:13:40, sad
30.85, 2025-01-08 21:13:41, neutral
31.48, 2025-01-08 21:13:42, neutral
32.15, 2025-01-08 21:13:42, neutral
33.33, 2025-01-08 21:13:43, neutral
34.20, 2025-01-08 21:13:44, neutral
34.88, 2025-01-08 21:13:45, neutral
35.77, 2025-01-08 21:13:46, neutral
36.40, 2025-01-08 21:13:46, neutral
37.01, 2025-01-08 21:13:47, neutral
37.69, 2025-01-08 21:13:48, angry
38.33, 2025-01-08 21:13:48, sad
38.99, 2025-01-08 21:13:49, fear
39.60, 2025-01-08 21:13:50, sad
40.20, 2025-01-08 21:13:50, sad
40.90, 2025-01-08 21:13:51, sad
41.51, 2025-01-08 21:13:52, fear
