soil_moisture,temp,humidity,watering_decision
45,25,60,1
70,30,40,0
20,28,55,1
85,35,30,0
33,27,50,1
50,26,65,1
75,32,45,0
40,29,58,1
90,31,35,0
25,24,70,1
60,27,52,1
80,33,42,0
35,28,61,1
95,36,25,0
22,23,68,1
55,26,54,1
78,31,44,0
48,30,57,1
88,34,38,0
28,25,66,1
65,28,53,1
77,29,47,0
41,30,59,1
87,33,31,0
30,22,67,1
58,27,50,1
82,35,36,0
36,26,62,1
92,32,28,0
21,24,69,1
53,25,55,1
76,30,43,0
47,29,60,1
89,34,33,0
29,23,65,1
62,28,51,1
81,35,37,0
39,25,63,1
94,31,29,0
24,24,70,1
54,27,56,1
79,32,41,0
44,30,59,1
84,33,34,0
32,22,66,1
61,26,52,1
86,34,39,0
37,28,60,1
91,29,30,0
23,24,68,1
57,25,53,1
83,33,40,0
42,27,61,1
96,36,24,0
27,23,67,1
66,28,54,1
74,32,46,0
43,29,58,1
93,35,26,0
26,24,69,1
51,25,55,1
80,30,44,0
38,28,62,1
90,33,31,0
34,25,65,1
68,27,52,1
85,36,39,0
31,23,64,1
59,29,50,1
78,32,38,0
40,26,63,1
95,34,27,0
25,24,67,1
56,28,54,1
81,30,42,0
47,27,59,1
87,35,35,0
28,22,66,1
63,26,53,1
82,31,39,0
