Date,Soil Moisture,Temperature,Humidity,Watering Decision
11/22/2024,45,25,60,1
11/23/2024,70,30,40,0
11/24/2024,20,28,55,1
11/25/2024,85,35,30,0
11/26/2024,33,27,50,1
11/27/2024,50,26,65,1
11/28/2024,75,32,45,0
11/29/2024,40,29,58,1
11/30/2024,90,31,35,0
12/1/2024,25,24,70,1
12/2/2024,60,27,52,1
12/3/2024,80,33,42,0
12/4/2024,35,28,61,1
12/5/2024,95,36,25,0
12/6/2024,22,23,68,1
12/7/2024,55,26,54,1
12/8/2024,78,31,44,0
12/9/2024,48,30,57,1
12/10/2024,88,34,38,0
12/11/2024,28,25,66,1
12/12/2024,65,28,53,1
12/13/2024,77,29,47,0
12/14/2024,41,30,59,1
12/15/2024,87,33,31,0
12/16/2024,30,22,67,1
12/17/2024,58,27,50,1
12/18/2024,82,35,36,0
12/19/2024,36,26,62,1
12/20/2024,92,32,28,0
12/21/2024,21,24,69,1
12/22/2024,53,25,55,1
12/23/2024,76,30,43,0
12/24/2024,47,29,60,1
12/25/2024,89,34,33,0
12/26/2024,29,23,65,1
12/27/2024,62,28,51,1
12/28/2024,81,35,37,0
12/29/2024,39,25,63,1
12/30/2024,94,31,29,0
12/31/2024,24,24,70,1
1/1/2025,54,27,56,1
1/2/2025,79,32,41,0
1/3/2025,44,30,59,1
1/4/2025,84,33,34,0
1/5/2025,32,22,66,1
1/6/2025,61,26,52,1
1/7/2025,86,34,39,0
1/8/2025,37,28,60,1
1/9/2025,91,29,30,0
1/10/2025,23,24,68,1
1/11/2025,57,25,53,1
1/12/2025,83,33,40,0
1/13/2025,42,27,61,1
1/14/2025,96,36,24,0
1/15/2025,27,23,67,1
1/16/2025,66,28,54,1
1/17/2025,74,32,46,0
1/18/2025,43,29,58,1
1/19/2025,93,35,26,0
1/20/2025,26,24,69,1
1/21/2025,51,25,55,1
1/22/2025,80,30,44,0
1/23/2025,38,28,62,1
1/24/2025,90,33,31,0
1/25/2025,34,25,65,1
1/26/2025,68,27,52,1
1/27/2025,85,36,39,0
1/28/2025,31,23,64,1
1/29/2025,59,29,50,1
1/30/2025,78,32,38,0
1/31/2025,40,26,63,1
2/1/2025,95,34,27,0
2/2/2025,25,24,67,1
2/3/2025,56,28,54,1
2/4/2025,81,30,42,0
2/5/2025,47,27,59,1
2/6/2025,87,35,35,0
2/7/2025,28,22,66,1
2/8/2025,63,26,53,1
2/9/2025,82,31,39,0
