Date,Soil Moisture,Temperature,nextemperature,Humidity,nexthumidity,Watering Decision
11/22/2024,45,25.3,30.2,60.7,40.1,1
11/23/2024,70,30.6,30.8,40.3,55.4,0
11/24/2024,20,30.4,30.1,55.9,30.2,1
11/25/2024,85,30.2,27.6,30.5,50.7,0
11/26/2024,33,27.7,26.1,50.9,65.8,1
11/27/2024,50,26.3,32.5,65.2,45.6,1
11/28/2024,75,32.6,29.4,45.3,58.7,0
11/29/2024,40,29.5,31.1,58.5,35.9,1
11/30/2024,90,31.8,24.2,35.7,70.4,0
12/1/2024,25,24.6,27.3,70.8,52.3,1
12/2/2024,60,27.5,33.9,52.2,42.4,1
12/3/2024,80,33.1,28.8,42.7,61.5,0
12/4/2024,35,28.7,36.2,61.9,25.8,1
12/5/2024,95,36.5,23.4,25.6,68.1,0
12/6/2024,22,23.1,26.3,68.7,54.5,1
12/7/2024,55,26.4,31.7,54.9,44.8,1
12/8/2024,78,31.2,30.6,44.4,57.2,0
12/9/2024,48,30.8,34.5,57.7,38.6,1
12/10/2024,88,34.1,25.9,38.1,66.9,0
12/11/2024,28,25.7,28.4,66.2,53.7,1
12/12/2024,65,28.6,29.1,53.4,47.9,1
12/13/2024,77,29.4,30.3,47.2,59.1,0
12/14/2024,41,30.1,33.7,59.8,31.4,1
12/15/2024,87,33.5,22.9,31.1,67.3,0
12/16/2024,30,22.2,27.4,67.5,50.6,1
12/17/2024,58,27.1,35.6,50.3,36.8,1
12/18/2024,82,35.3,26.9,36.4,62.2,0
12/19/2024,36,26.7,32.4,62.8,28.3,1
12/20/2024,92,32.8,24.5,28.4,69.7,0
12/21/2024,21,24.9,25.6,69.3,55.1,1
12/22/2024,53,25.4,30.9,55.7,43.6,1
12/23/2024,76,30.5,29.2,43.5,60.2,0
12/24/2024,47,29.1,34.1,60.1,33.8,1
12/25/2024,89,34.9,23.5,33.9,65.5,0
12/26/2024,29,23.7,28.5,65.8,51.3,1
12/27/2024,62,28.1,35.9,51.6,37.4,1
12/28/2024,81,35.4,25.2,37.1,63.1,0
12/29/2024,39,25.6,31.8,63.5,29.7,1
12/30/2024,94,31.3,24.7,29.3,70.6,0
12/31/2024,24,24.5,27.6,70.1,56.3,1
1/1/2025,54,27.8,32.1,56.7,41.9,1
1/2/2025,79,32.5,30.4,41.2,59.8,0
1/3/2025,44,30.6,33.5,59.1,34.5,1
1/4/2025,84,33.3,22.8,34.4,66.6,0
1/5/2025,32,22.5,26.9,66.3,52.5,1
1/6/2025,61,26.2,34.3,52.7,39.3,1
1/7/2025,86,34.7,28.7,39.8,60.5,0
1/8/2025,37,28.4,29.5,60.3,30.4,1
1/9/2025,91,29.8,24.1,30.9,68.5,0
1/10/2025,23,24.6,25.8,68.4,53.2,1
1/11/2025,57,25.9,33.2,53.1,40.6,1
1/12/2025,83,33.4,27.2,40.3,61.4,0
1/13/2025,42,27.5,36.7,61.6,24.9,1
1/14/2025,96,36.1,23.7,24.8,67.1,0
1/15/2025,27,23.9,28.2,67.4,54.7,1
1/16/2025,66,28.3,32.7,54.2,46.1,1
1/17/2025,74,32.6,29.4,46.3,58.3,0
1/18/2025,43,29.2,35.8,58.4,26.5,1
1/19/2025,93,35.5,24.8,26.9,69.1,0
1/20/2025,26,24.3,25.1,69.6,55.8,1
1/21/2025,51,25.5,30.7,55.4,44.2,1
1/22/2025,80,30.8,28.1,44.1,62.5,0
1/23/2025,38,28.9,33.3,62.3,31.9,1
1/24/2025,90,33.1,25.4,31.8,65.6,0
