Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,5.515044,6.356606,7.868544,-0.023449,-0.016254,-0.005462
1,5.522226,6.349423,7.860164,-0.023582,-0.014789,-0.005329
2,5.500679,6.341043,7.848193,-0.023982,-0.015188,-0.00493
3,5.498284,6.35062,7.873333,-0.020518,-0.016787,-0.005462
4,5.530606,6.337452,7.85777,-0.019985,-0.017587,-0.005196
5,5.534197,6.344635,7.858967,-0.025847,-0.013323,-0.004796
6,5.527015,6.345831,7.824251,-0.026247,-0.013057,-0.005063
7,5.533,6.376956,7.917625,-0.018786,-0.029444,0.007328
8,5.431247,6.452374,7.710526,-0.005329,-0.029444,-0.028112
9,5.525817,6.452374,7.862558,-0.027712,-0.011325,-0.02225
10,5.501875,6.391322,7.825448,-0.03091,-0.008926,-0.005063
11,5.51265,6.374562,7.800309,-0.023315,-0.014789,-0.004796
12,5.518635,6.40449,7.799112,-0.012524,-0.023449,-0.005462
13,5.533,6.39611,7.8039,-0.004796,-0.029844,-0.00413
14,5.515044,6.430826,7.845799,0.006262,-0.036905,0.040103
15,5.288792,6.813898,8.248025,0.190654,-0.225161,0.033175
16,7.675811,6.758832,4.256891,0.332678,-2.097726,1.055991
17,7.217321,3.38181,0.015562,0.886254,-2.000201,-0.094727
18,3.681085,5.610812,-7.25084,0.870266,-4.365721,-0.598475
19,-0.178368,0.538695,-6.597223,1.642608,-0.758619,0.810579
20,0.05387,-0.023942,-9.629479,0.134164,0.153882,-0.065683
21,-1.21386,0.787692,-7.313089,-0.054092,0.340672,-0.710256
22,-2.194286,-1.458069,-9.054871,-0.101389,0.980715,-0.236352
23,0.980426,0.171185,-7.350199,0.077541,0.013456,-0.177597
24,1.145625,-0.227449,-8.178593,-0.121773,-0.266596,-0.234887
25,0.113725,0.93733,-7.268796,-0.034907,-0.101256,0.001466
26,0.349553,0.149638,-7.589619,-0.026779,-0.023848,-0.006395
27,0.305261,-0.319626,-7.518991,-0.027579,-0.024381,-0.012923
28,0.360327,-0.219069,-7.559692,-0.022783,-0.019052,-0.001466
29,0.337582,-0.117316,-7.532158,-0.019452,-0.002665,-0.006395
30,0.33878,0.271742,-7.49026,-0.01732,-0.005329,-0.005329
31,0.331597,-0.219069,-7.518991,-0.01732,-0.012257,-0.010925
32,0.39624,0.004788,-7.530962,-0.020384,-0.015721,0.027312
33,0.424971,-0.424971,-7.548918,-0.025314,-0.018386,-0.006928
34,0.773327,-0.377087,-7.466318,-0.02225,0.014789,0.090597
35,0.381875,0.043096,-8.227674,0.568098,-0.010658,0.142691
36,0.187945,-2.248155,-7.043741,0.807115,-0.014789,0.03917
37,0.237026,-3.842694,-6.258443,0.355061,0.022649,0.069813
38,0.290895,-3.851074,-6.669049,-0.676415,-0.018652,-0.026113
39,0.235829,-1.758541,-7.645883,-0.626453,-0.020518,-0.091663
40,0.420182,-0.851139,-7.890092,-0.327749,-0.008394,-0.086201
41,0.676362,-0.363919,-8.37372,-0.026913,-0.061686,-0.006528
42,0.141258,-1.159991,-7.542933,-0.03424,-0.035306,0.037571
43,0.040701,1.206678,-7.56448,-0.915432,0.023715,-0.316158
44,0.525527,2.877831,-6.370971,-0.828032,0.027312,-0.049162
45,0.083797,4.435259,-6.341043,-0.307498,0.06102,-0.137495
46,0.554258,3.550601,-6.497863,0.371715,0.424341,0.010658
47,2.134431,3.380613,-6.898892,0.308963,0.842421,-0.038371
48,6.063316,2.559402,-6.394913,0.313227,0.361057,0.156946
49,5.767632,0.828394,-3.213019,0.215435,1.493655,0.505613
50,8.857349,0.198719,-0.73502,0.142557,2.280386,0.325484
51,9.610326,0.118513,6.306327,0.124305,2.817841,-0.26966
52,9.011775,0.501585,6.822278,-0.181594,-2.152217,-0.006662
53,8.075643,-0.253785,-5.060145,-0.057423,-4.365721,0.006528
54,0.679953,0.057461,-7.668628,-0.110049,-3.317058,-0.174266
55,-4.55018,0.215478,-6.355408,-0.072877,-1.129934,0.033841
56,0.270545,0.517148,-8.173804,0.114046,4.365588,0.037038
57,8.972271,-0.1652,-3.797204,-0.052626,3.911403,-0.022783
58,10.283096,-0.226252,3.979163,-0.045565,2.442795,0.138028
59,8.046912,-0.804452,2.568978,-0.148686,-3.709558,0.10059
60,4.636372,-0.70629,-6.631939,-0.106452,-2.094262,-0.104853
61,-2.03986,-0.521936,-6.762423,-0.161343,-1.381075,-0.061286
62,1.315614,-0.560243,-6.781576,0.122706,4.365588,0.015188
63,7.863756,-0.447716,-3.885789,-0.044233,3.912868,-0.123239
64,9.498995,-0.775721,-0.477643,-0.080338,-1.287946,0.064351
65,3.787627,-0.351948,-7.187394,-0.02225,-4.314027,0.139227
