Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,0.1724,-0.1389,-7.4915,-0.023,-0.0131,-0.0064
1,0.1544,-0.1508,-7.4891,-0.0228,-0.0128,-0.0057
2,0.1676,-0.1437,-7.4915,-0.0232,-0.0136,-0.0051
3,0.17,-0.1556,-7.5178,-0.0236,-0.0137,-0.0059
4,0.1556,-0.158,-7.4807,-0.0234,-0.0132,-0.0061
5,0.1748,-0.1401,-7.4998,-0.0233,-0.0137,-0.0056
6,0.1508,-0.1556,-7.4843,-0.023,-0.0131,-0.0063
7,0.1796,-0.1437,-7.4843,-0.023,-0.0133,-0.0056
8,0.1832,-0.1556,-7.4939,-0.0238,-0.0137,-0.0055
9,0.1676,-0.1484,-7.4974,-0.023,-0.0144,-0.0053
10,0.1676,-0.1448,-7.4867,-0.0238,-0.0132,-0.0056
11,0.182,-0.1592,-7.4831,-0.023,-0.0132,-0.0059
12,0.1772,-0.1568,-7.4927,-0.0232,-0.0135,-0.0055
13,0.1604,-0.1484,-7.4891,-0.0246,-0.0135,-0.0052
14,0.1712,-0.152,-7.5178,-0.0232,-0.0136,-0.0055
15,0.1568,-0.1401,-7.4974,-0.0226,-0.0141,-0.0056
16,0.1532,-0.1472,-7.495,-0.0226,-0.014,-0.0056
17,0.1736,-0.146,-7.4795,-0.023,-0.0135,-0.0056
18,0.1628,-0.1568,-7.4831,-0.0232,-0.0133,-0.0049
19,0.1856,-0.1353,-7.513,-0.024,-0.0137,-0.0057
20,0.1496,-0.1317,-7.4927,-0.0236,-0.0135,-0.006
21,0.1724,-0.146,-7.4998,-0.0225,-0.0135,-0.0053
22,0.176,-0.1484,-7.4819,-0.0241,-0.014,-0.0055
23,0.158,-0.1425,-7.5022,-0.0242,-0.0135,-0.0056
24,0.1496,-0.1688,-7.4903,-0.0237,-0.0132,-0.0061
25,0.1568,-0.1353,-7.4855,-0.0234,-0.0136,-0.0059
26,0.1688,-0.1532,-7.4891,-0.0232,-0.0132,-0.0061
27,0.158,-0.1472,-7.5106,-0.0232,-0.0132,-0.0053
28,0.1867,-0.146,-7.5058,-0.0233,-0.0141,-0.0056
29,0.17,-0.1508,-7.531,-0.024,-0.0135,-0.0052
30,0.1772,-0.158,-7.4627,-0.0233,-0.0147,-0.0056
31,0.1712,-0.1365,-7.4915,-0.0232,-0.0131,-0.006
32,0.1604,-0.1532,-7.4759,-0.023,-0.0139,-0.0056
33,0.1712,-0.1472,-7.5022,-0.0232,-0.014,-0.0048
34,0.1652,-0.1532,-7.4855,-0.0225,-0.0147,-0.0053
35,0.1724,-0.1508,-7.4927,-0.0228,-0.0136,-0.0064
36,0.1496,-0.1688,-7.5058,-0.0237,-0.0132,-0.0056
37,0.1592,-0.1496,-7.4735,-0.0232,-0.0132,-0.0051
38,0.1628,-0.1448,-7.4986,-0.0229,-0.0135,-0.0061
39,0.1688,-0.1556,-7.446,-0.0228,-0.0144,-0.0059
40,0.176,-0.1389,-7.5094,-0.0226,-0.0131,-0.0065
41,0.1544,-0.152,-7.4962,-0.0228,-0.0139,-0.0053
42,0.1664,-0.1496,-7.5082,-0.0234,-0.0128,-0.006
43,0.1879,-0.1389,-7.5429,-0.0237,-0.0143,-0.0057
44,0.1592,-0.1389,-7.4986,-0.0241,-0.0144,-0.0056
45,0.1676,-0.1245,-7.4867,-0.0237,-0.0132,-0.006
46,0.1856,-0.158,-7.4747,-0.0224,-0.0125,-0.0055
47,0.1772,-0.1472,-7.501,-0.0229,-0.0139,-0.0059
